日期,股票代码,股票名字,明日最高,明日最低,明日收盘,二日最高,二日最低,二日收盘,三日最高,三日最低,三日收盘,五日最高,五日最低,五日收盘
20170203.0,SH600011,华能国际,0.8258581161499023,0.07648468017578125,1.0743379592895508,1.9961833953857422,-0.4644036293029785,1.3366937637329102,2.7073144912719727,-0.13717412948608398,0.8787155151367188,1.5427231788635254,-0.44054388999938965,1.0057687759399414
20170206.0,SH600011,华能国际,1.2717247009277344,-0.775676965713501,0.15314817428588867,2.0877599716186523,-0.4761219024658203,1.946115493774414,3.8330912590026855,-0.10353326797485352,2.691221237182617,6.960201263427734,-0.8158981800079346,5.3348541259765625
20170207.0,SH600011,华能国际,-1.0522067546844482,-1.8264234066009521,-0.6512761116027832,-0.29474496841430664,-2.1996259689331055,-0.9208023548126221,0.3702998161315918,-2.835315465927124,-0.7232248783111572,0.13453960418701172,-1.973414421081543,0.9321689605712891
20170208.0,SH600011,华能国际,1.5603423118591309,-0.4067420959472656,0.8080244064331055,2.2577285766601562,-0.508803129196167,0.8004546165466309,2.5380492210388184,-1.0120749473571777,0.7961034774780273,2.6736974716186523,0.5598187446594238,3.2218098640441895
20170209.0,SH600011,华能国际,1.2804031372070312,-0.6488561630249023,0.7082343101501465,1.7376303672790527,-0.04456043243408203,1.0989785194396973,1.9172191619873047,-1.0685980319976807,0.8121490478515625,2.2241711616516113,0.41407346725463867,2.5971174240112305
20170210.0,SH600011,华能国际,1.6589164733886719,-0.9217143058776855,0.45353174209594727,1.6476869583129883,-0.9678363800048828,-0.40790438652038574,1.3798713684082031,-2.4304628372192383,0.3753542900085449,2.6243090629577637,0.4049539566040039,3.7564635276794434
20170213.0,SH600011,华能国际,-0.135117769241333,-1.19706392288208,-0.48116445541381836,0.6459593772888184,-1.4379322528839111,0.17001628875732422,1.2891411781311035,-1.1933863162994385,-0.4420042037963867,0.7407426834106445,-2.2094428539276123,-1.26761794090271
20170214.0,SH600011,华能国际,2.5326013565063477,0.6274938583374023,1.853775978088379,2.580881118774414,0.01016855239868164,0.8683919906616211,2.511870861053467,-0.6165027618408203,1.7654895782470703,3.5039782524108887,0.17588138580322266,2.597486972808838
20170215.0,SH600011,华能国际,1.1704683303833008,0.07215738296508789,1.178145408630371,1.523137092590332,-0.578540563583374,0.45464038848876953,1.6847491264343262,-0.940394401550293,0.807654857635498,1.6081690788269043,-0.8954763412475586,0.5999088287353516
20170216.0,SH600011,华能国际,3.076469898223877,0.4670858383178711,2.136862277984619,3.1603455543518066,-0.9939253330230713,-0.20170211791992188,2.8694987297058105,-2.396833896636963,-0.9616315364837646,3.084266185760498,-3.084874153137207,-0.6666064262390137
20170217.0,SH600011,华能国际,1.3157963752746582,-0.8035421371459961,-0.6371915340423584,0.9054780006408691,-1.9784808158874512,-0.9223222732543945,1.101231575012207,-1.5021443367004395,0.1216888427734375,3.2065987586975098,-3.904479742050171,-2.376246452331543
20170220.0,SH600011,华能国际,-1.0171175003051758,-0.3139615058898926,0.29926300048828125,-0.35231709480285645,-1.103508472442627,0.4008054733276367,0.3568291664123535,-0.48380494117736816,-0.23009777069091797,-1.3323009014129639,-3.9593100547790527,-5.157345533370972
20170221.0,SH600011,华能国际,0.23944377899169922,-0.8535265922546387,-0.23154616355895996,0.8152604103088379,-1.7745673656463623,-0.5045711994171143,1.2379646301269531,-1.5018165111541748,-0.3821372985839844,1.015305519104004,-1.9809246063232422,-0.5316615104675293
20170222.0,SH600011,华能国际,1.4306187629699707,0.3373384475708008,1.7910122871398926,1.0812759399414062,0.20028352737426758,0.46726465225219727,0.7104039192199707,-1.3298988342285156,1.3178348541259766,1.3294458389282227,-0.3944516181945801,1.054394245147705
20170223.0,SH600011,华能国际,1.8717646598815918,-0.3052651882171631,0.5221366882324219,3.4035801887512207,0.0034570693969726562,2.3975729942321777,4.357743263244629,0.7504701614379883,1.4898896217346191,4.066562652587891,1.6009807586669922,4.040193557739258
20170224.0,SH600011,华能国际,1.149594783782959,-0.14542937278747559,0.7184267044067383,0.9203433990478516,-0.16853809356689453,0.6294727325439453,0.979161262512207,-0.7737696170806885,1.0206937789916992,2.0381689071655273,-1.721489429473877,-0.7159292697906494
20170227.0,SH600011,华能国际,2.2771239280700684,-0.4032611846923828,-0.051915645599365234,2.3532867431640625,-1.0312795639038086,0.24613142013549805,2.6677966117858887,-0.6322503089904785,0.9695529937744141,4.8084259033203125,-1.0366082191467285,1.7663836479187012
20170228.0,SH600011,华能国际,3.174614906311035,0.8299112319946289,2.1272659301757812,4.532968997955322,0.4116654396057129,3.5294175148010254,5.2286505699157715,1.3848662376403809,4.433071613311768,5.185198783874512,1.3809680938720703,2.7790069580078125
20170301.0,SH600011,华能国际,2.4512529373168945,0.5239725112915039,1.1575579643249512,2.3664236068725586,-0.3180861473083496,0.682985782623291,2.496218681335449,-0.20832419395446777,1.7181158065795898,4.236626625061035,-0.8917629718780518,1.328444480895996
20170302.0,SH600011,华能国际,0.1165151596069336,-0.2521634101867676,0.40581226348876953,0.9964942932128906,-1.3562977313995361,0.021517276763916016,1.5639066696166992,-0.8208274841308594,0.06595849990844727,0.7027626037597656,-1.5183448791503906,-0.33239126205444336
20170303.0,SH600011,华能国际,0.08220672607421875,-1.0848283767700195,-0.3347039222717285,0.13005733489990234,-1.9546926021575928,-1.3307452201843262,0.14747381210327148,-2.4503886699676514,-0.4810750484466553,0.7606267929077148,-2.0820140838623047,-0.15840530395507812
