序号,股票代码,股票名称,交易日,开盘,收盘,最高,最低,成交量,大盘代码,大盘名字,开盘,收盘,最高,最低,成交量
1,SZ000002,万  科Ａ,20030102,9.48,9.2,9.5,9.19,790027,SZ399001,深证成指,2743.21,2689.493,2743.304,2682.267,55161269
2,SZ000002,万  科Ａ,20030103,9.15,9.09,9.22,9.05,732241,SZ399001,深证成指,2681.635,2687.72,2700.388,2673.249,42097005
3,SZ000002,万  科Ａ,20030106,9.08,9.15,9.15,9.03,602511,SZ399001,深证成指,2684.832,2722.282,2723.744,2675.045,47382269
4,SZ000002,万  科Ａ,20030107,9.18,9.04,9.22,8.99,672206,SZ399001,深证成指,2723.178,2718.326,2740.666,2705.597,43091643
5,SZ000002,万  科Ａ,20030108,9.06,9.23,9.28,9,1081021,SZ399001,深证成指,2716.667,2790.037,2790.261,2714.875,64840582
6,SZ000002,万  科Ａ,20030109,9.26,9.57,9.6,9.15,3196632,SZ399001,深证成指,2794.283,2835.489,2848.745,2773.436,133817188
7,SZ000002,万  科Ａ,20030110,9.5,9.54,9.65,9.38,2197630,SZ399001,深证成指,2834.304,2811.192,2860.997,2809.839,132774865
8,SZ000002,万  科Ａ,20030113,9.5,9.53,9.61,9.4,2132173,SZ399001,深证成指,2803.032,2821.599,2830.935,2798.988,71106749
9,SZ000002,万  科Ａ,20030114,9.48,10.02,10.3,9.48,6202914,SZ399001,深证成指,2823.122,2999.398,3027.749,2823.122,387343562
10,SZ000002,万  科Ａ,20030115,10.01,9.91,10.2,9.85,5301512,SZ399001,深证成指,3004.918,2963.99,3027.811,2945.58,242302725
11,SZ000002,万  科Ａ,20030116,9.9,10.15,10.22,9.87,4945134,SZ399001,深证成指,2964.887,3010.611,3014.147,2957.397,156232191
12,SZ000002,万  科Ａ,20030117,10.13,10.16,10.26,10.1,4541348,SZ399001,深证成指,3014.592,2998.666,3027.463,2985.368,132553825
13,SZ000002,万  科Ａ,20030120,10.16,10.24,10.29,10.02,3065992,SZ399001,深证成指,2998.646,3012.075,3012.793,2963.528,102932630
14,SZ000002,万  科Ａ,20030121,10.28,9.95,10.3,9.95,2260538,SZ399001,深证成指,3018.571,2953.515,3029.033,2953.417,124978817
15,SZ000002,万  科Ａ,20030122,9.9,9.87,9.95,9.77,2009640,SZ399001,深证成指,2948.026,2961.89,2969.244,2941.448,86384167
16,SZ000002,万  科Ａ,20030123,9.88,9.81,9.93,9.8,1585064,SZ399001,深证成指,2960.061,2942.162,2984.979,2941.464,73451419
17,SZ000002,万  科Ａ,20030124,9.77,9.96,9.99,9.75,953524,SZ399001,深证成指,2939.762,2992.108,2998.295,2934.999,98399163
18,SZ000002,万  科Ａ,20030127,9.96,10.05,10.14,9.87,1352438,SZ399001,深证成指,2994.851,3031.448,3037.733,2994.193,215398214
19,SZ000002,万  科Ａ,20030128,10.06,9.97,10.1,9.92,1225420,SZ399001,深证成指,3032.212,3044.034,3045.757,3021.273,127965053
20,SZ000002,万  科Ａ,20030129,10.02,10.07,10.15,9.98,1136196,SZ399001,深证成指,3045.014,3051.219,3069.125,3042.82,123611043
21,SZ000002,万  科Ａ,20030210,10.1,9.87,10.1,9.85,581779,SZ399001,深证成指,3048.806,3010.633,3048.806,3006.496,82512358
22,SZ000002,万  科Ａ,20030211,9.81,10.07,10.08,9.81,688623,SZ399001,深证成指,3005.427,3031.311,3032.132,3001.055,53257454
23,SZ000002,万  科Ａ,20030212,10.06,10.2,10.22,9.98,1644523,SZ399001,深证成指,3031.654,3063.023,3064.287,3020.391,77139971
24,SZ000002,万  科Ａ,20030213,10.34,10.19,10.43,10.18,3708529,SZ399001,深证成指,3066.633,3043.886,3082.357,3040.773,127194535
25,SZ000002,万  科Ａ,20030214,10.17,10.26,10.33,10.15,1061924,SZ399001,深证成指,3041.835,3046.601,3055.124,3033.564,72148529
26,SZ000002,万  科Ａ,20030217,10.25,10.18,10.36,10.16,1207568,SZ399001,深证成指,3048.753,3021.914,3053.671,3011.112,79483941
27,SZ000002,万  科Ａ,20030218,10.16,10.2,10.22,10.13,863107,SZ399001,深证成指,3019.388,3018.696,3027.332,3006.492,71116646
28,SZ000002,万  科Ａ,20030219,10.2,10.2,10.2,10.12,743635,SZ399001,深证成指,3018.614,3046.268,3046.296,3002.318,67243121
29,SZ000002,万  科Ａ,20030220,10.2,10.1,10.28,10.08,794400,SZ399001,深证成指,3045.948,3041.894,3056.125,3038.561,70356871
30,SZ000002,万  科Ａ,20030221,10.1,9.94,10.1,9.94,1028616,SZ399001,深证成指,3040.867,2990.007,3040.867,2984.674,98690479
31,SZ000002,万  科Ａ,20030224,9.94,9.97,10.01,9.9,653197,SZ399001,深证成指,2985.856,2990.081,3006.024,2980.861,66679401
32,SZ000002,万  科Ａ,20030225,9.95,10.2,10.28,9.95,3586822,SZ399001,深证成指,2993.459,3043.167,3044.107,2993.459,113931202
33,SZ000002,万  科Ａ,20030226,10.25,10.18,10.26,10.15,1017730,SZ399001,深证成指,3043.837,3044.07,3047.332,3031.347,70471918
34,SZ000002,万  科Ａ,20030227,10.2,10.35,10.36,10.18,2240718,SZ399001,深证成指,3044.963,3051.915,3061.267,3044.122,77369994
35,SZ000002,万  科Ａ,20030228,10.35,10.33,10.35,10.25,1717401,SZ399001,深证成指,3052.352,3057.241,3063.022,3040.129,84170547
36,SZ000002,万  科Ａ,20030303,10.35,10.67,10.68,10.3,5553586,SZ399001,深证成指,3058.271,3073.441,3073.891,3051.227,104347977
37,SZ000002,万  科Ａ,20030304,10.7,10.95,11.05,10.7,13600680,SZ399001,深证成指,3077.729,3076.993,3087.424,3065.817,90053681
38,SZ000002,万  科Ａ,20030305,10.96,10.91,11.02,10.79,3911093,SZ399001,深证成指,3078.442,3070.353,3079.932,3052.569,82655150
39,SZ000002,万  科Ａ,20030306,10.97,10.85,10.97,10.77,2610863,SZ399001,深证成指,3071.204,3030.948,3071.204,3027.486,87526806
40,SZ000002,万  科Ａ,20030307,10.85,10.9,10.97,10.78,2395817,SZ399001,深证成指,3028.809,3027.735,3040.156,3019.702,73977027
41,SZ000002,万  科Ａ,20030310,10.9,10.7,11,10.7,2831625,SZ399001,深证成指,3022.054,2974.373,3026.128,2972.757,96018118
42,SZ000002,万  科Ａ,20030311,10.69,10.75,10.82,10.65,1287539,SZ399001,深证成指,2971.135,2971.493,2984.64,2960.934,64785204
43,SZ000002,万  科Ａ,20030312,10.75,11,11.02,10.7,4563177,SZ399001,深证成指,2971.094,2995.963,2996.316,2957.2,80994122
44,SZ000002,万  科Ａ,20030313,11,10.89,11.11,10.84,3190628,SZ399001,深证成指,2996.054,2978.227,2999.458,2975.894,67602488
45,SZ000002,万  科Ａ,20030314,10.9,11.31,11.36,10.9,13685360,SZ399001,深证成指,2976.872,2994.668,2998.09,2970.604,88502484
46,SZ000002,万  科Ａ,20030317,11.32,11.19,11.42,11.15,7195254,SZ399001,深证成指,2992.73,2989.835,2992.883,2961.934,98872635
47,SZ000002,万  科Ａ,20030318,11.45,11.31,11.6,11.28,20882340,SZ399001,深证成指,2989.236,2979.295,3009.571,2978.011,105013853
48,SZ000002,万  科Ａ,20030319,11.34,11.49,11.6,11.34,12200638,SZ399001,深证成指,2976.995,3000.761,3012.627,2962.027,96715547
49,SZ000002,万  科Ａ,20030320,11.52,11.38,11.56,11.3,4327988,SZ399001,深证成指,2998.924,2976.103,3007.21,2970.326,95328055
50,SZ000002,万  科Ａ,20030321,11.38,11.42,11.48,11.32,3248225,SZ399001,深证成指,2973.172,3005.593,3006.38,2971.265,75149274
51,SZ000002,万  科Ａ,20030324,11.46,11.7,11.77,11.43,7677867,SZ399001,深证成指,3007.484,3012.274,3014.483,2999.148,64695688
52,SZ000002,万  科Ａ,20030325,11.7,11.65,11.78,11.63,5391741,SZ399001,深证成指,3012.142,2979.086,3014.682,2977.483,72438381
