序号,股票代码,股票名称,交易日,开盘,收盘,最高,最低,成交量,大盘代码,大盘名字,开盘,收盘,最高,最低,成交量
1,SZ000031,深宝恒Ａ,20030102,7.82,7.65,7.95,7.63,1165800,SZ399001,深证成指,2743.21,2689.493,2743.304,2682.267,55161269
2,SZ000031,深宝恒Ａ,20030103,7.65,7.71,7.81,7.6,822349,SZ399001,深证成指,2681.635,2687.72,2700.388,2673.249,42097005
3,SZ000031,深宝恒Ａ,20030106,7.69,7.84,7.94,7.63,745269,SZ399001,深证成指,2684.832,2722.282,2723.744,2675.045,47382269
4,SZ000031,深宝恒Ａ,20030107,7.84,7.78,8.05,7.72,938537,SZ399001,深证成指,2723.178,2718.326,2740.666,2705.597,43091643
5,SZ000031,深宝恒Ａ,20030108,7.73,8.07,8.09,7.71,1403450,SZ399001,深证成指,2716.667,2790.037,2790.261,2714.875,64840582
6,SZ000031,深宝恒Ａ,20030109,8.1,8.27,8.31,8,3385286,SZ399001,深证成指,2794.283,2835.489,2848.745,2773.436,133817188
7,SZ000031,深宝恒Ａ,20030110,8.27,8.12,8.35,8.11,2311398,SZ399001,深证成指,2834.304,2811.192,2860.997,2809.839,132774865
8,SZ000031,深宝恒Ａ,20030113,8.08,8.14,8.25,8.02,865659,SZ399001,深证成指,2803.032,2821.599,2830.935,2798.988,71106749
9,SZ000031,深宝恒Ａ,20030114,8.14,8.5,8.6,8.06,4926709,SZ399001,深证成指,2823.122,2999.398,3027.749,2823.122,387343562
10,SZ000031,深宝恒Ａ,20030115,8.53,8.48,8.8,8.36,6041418,SZ399001,深证成指,3004.918,2963.99,3027.811,2945.58,242302725
11,SZ000031,深宝恒Ａ,20030116,8.47,8.65,8.73,8.46,3348023,SZ399001,深证成指,2964.887,3010.611,3014.147,2957.397,156232191
12,SZ000031,深宝恒Ａ,20030117,8.69,8.5,8.77,8.48,2398717,SZ399001,深证成指,3014.592,2998.666,3027.463,2985.368,132553825
13,SZ000031,深宝恒Ａ,20030120,8.51,8.77,8.85,8.48,3953080,SZ399001,深证成指,2998.646,3012.075,3012.793,2963.528,102932630
14,SZ000031,深宝恒Ａ,20030121,8.78,8.42,8.79,8.41,2868279,SZ399001,深证成指,3018.571,2953.515,3029.033,2953.417,124978817
15,SZ000031,深宝恒Ａ,20030122,8.38,8.39,8.45,8.29,1462490,SZ399001,深证成指,2948.026,2961.89,2969.244,2941.448,86384167
16,SZ000031,深宝恒Ａ,20030123,8.35,8.31,8.46,8.28,1237033,SZ399001,深证成指,2960.061,2942.162,2984.979,2941.464,73451419
17,SZ000031,深宝恒Ａ,20030124,8.31,8.4,8.46,8.26,1138626,SZ399001,深证成指,2939.762,2992.108,2998.295,2934.999,98399163
18,SZ000031,深宝恒Ａ,20030127,8.41,8.54,8.6,8.39,1599544,SZ399001,深证成指,2994.851,3031.448,3037.733,2994.193,215398214
19,SZ000031,深宝恒Ａ,20030128,8.55,8.56,8.58,8.49,1141269,SZ399001,深证成指,3032.212,3044.034,3045.757,3021.273,127965053
20,SZ000031,深宝恒Ａ,20030129,8.68,8.58,8.68,8.56,1752701,SZ399001,深证成指,3045.014,3051.219,3069.125,3042.82,123611043
21,SZ000031,深宝恒Ａ,20030210,8.57,8.35,8.57,8.35,876100,SZ399001,深证成指,3048.806,3010.633,3048.806,3006.496,82512358
22,SZ000031,深宝恒Ａ,20030211,8.3,8.78,8.79,8.3,2387631,SZ399001,深证成指,3005.427,3031.311,3032.132,3001.055,53257454
23,SZ000031,深宝恒Ａ,20030212,8.77,8.94,9.04,8.66,5963608,SZ399001,深证成指,3031.654,3063.023,3064.287,3020.391,77139971
