序号,股票代码,股票名称,交易日,开盘,收盘,最高,最低,成交量,大盘代码,大盘名字,开盘,收盘,最高,最低,成交量
1,SH600028,中国石化,20030102,3.01,2.94,3.02,2.93,11649900,SH000001,上证指数,1347.433,1320.63,1351.344,1317.468,6500700
2,SH600028,中国石化,20030103,2.94,2.96,2.96,2.93,7598367,SH000001,上证指数,1317.583,1319.868,1323.628,1312.796,4576474
3,SH600028,中国石化,20030106,2.95,3,3.01,2.94,4878182,SH000001,上证指数,1319.688,1334.679,1334.887,1311.684,6750100
4,SH600028,中国石化,20030107,3,2.98,3.01,2.97,3192474,SH000001,上证指数,1335.632,1332.061,1346.819,1326.191,7343200
5,SH600028,中国石化,20030108,2.98,3.1,3.12,2.98,14239379,SH000001,上证指数,1331.441,1372.067,1373.116,1330.451,9823400
6,SH600028,中国石化,20030109,3.1,3.13,3.18,3.06,19089481,SH000001,上证指数,1374.618,1397.384,1402.286,1365.37,18529300
7,SH600028,中国石化,20030110,3.13,3.09,3.16,3.09,17924714,SH000001,上证指数,1398.377,1384.859,1411.374,1384.63,16263300
8,SH600028,中国石化,20030113,3.1,3.08,3.1,3.07,6324273,SH000001,上证指数,1381.87,1386.314,1391.187,1378.647,8607700
9,SH600028,中国石化,20030114,3.08,3.39,3.39,3.07,186958111,SH000001,上证指数,1386.897,1466.851,1476.912,1386.592,41012400
10,SH600028,中国石化,20030115,3.48,3.33,3.58,3.29,183141477,SH000001,上证指数,1477.454,1459.92,1485.795,1448.271,37023000
11,SH600028,中国石化,20030116,3.33,3.35,3.43,3.28,66053211,SH000001,上证指数,1458.866,1485.618,1486.059,1454.546,24575400
12,SH600028,中国石化,20030117,3.35,3.39,3.42,3.35,59125606,SH000001,上证指数,1488.265,1478.675,1492.723,1472.96,21566700
13,SH600028,中国石化,20030120,3.4,3.4,3.41,3.34,23651007,SH000001,上证指数,1475.711,1482.681,1482.943,1458.117,22487800
14,SH600028,中国石化,20030121,3.42,3.32,3.44,3.32,29696298,SH000001,上证指数,1485.87,1454.891,1489.551,1454.611,17551200
15,SH600028,中国石化,20030122,3.3,3.38,3.45,3.29,58813816,SH000001,上证指数,1448.826,1460.53,1463.938,1446.348,12139944
16,SH600028,中国石化,20030123,3.37,3.36,3.4,3.35,18996205,SH000001,上证指数,1460.249,1450.616,1470.327,1448.701,11427599
17,SH600028,中国石化,20030124,3.36,3.51,3.61,3.35,93882504,SH000001,上证指数,1449.504,1479.07,1483.557,1448.011,14814600
18,SH600028,中国石化,20030127,3.5,3.51,3.53,3.47,40112550,SH000001,上证指数,1481.609,1496.157,1500.384,1480.967,14672600
19,SH600028,中国石化,20030128,3.51,3.5,3.52,3.46,23158245,SH000001,上证指数,1497.098,1500.639,1502.432,1489.165,10478500
20,SH600028,中国石化,20030129,3.51,3.5,3.53,3.49,27503268,SH000001,上证指数,1501.286,1499.815,1508.588,1498.372,12698300
21,SH600028,中国石化,20030210,3.52,3.49,3.59,3.48,35247926,SH000001,上证指数,1499.166,1480.169,1499.641,1477.517,7999500
22,SH600028,中国石化,20030211,3.49,3.48,3.5,3.43,17469664,SH000001,上证指数,1478.046,1492.764,1492.894,1476.874,5979700
23,SH600028,中国石化,20030212,3.48,3.51,3.53,3.46,14969553,SH000001,上证指数,1493.248,1510.671,1510.985,1486.313,10627700
24,SH600028,中国石化,20030213,3.51,3.48,3.53,3.46,20810072,SH000001,上证指数,1512.285,1504.338,1519.29,1502.431,13093300
25,SH600028,中国石化,20030214,3.48,3.5,3.53,3.45,20743609,SH000001,上证指数,1503.373,1510.95,1515.255,1500.983,9248600
26,SH600028,中国石化,20030217,3.48,3.42,3.5,3.4,19398578,SH000001,上证指数,1510.64,1496.523,1514.636,1490.918,11086400
27,SH600028,中国石化,20030218,3.41,3.4,3.43,3.38,14527374,SH000001,上证指数,1495.141,1496.468,1500.293,1488.827,7252743
